license_number,application_number,business_name,license_type,application_fee,lic_fee_amount,dbe,approved_license_type,priority_type,application_status,row_ct,business_address_1,business_city,business_state,business_zipcode,mailing_address_1,mailing_city,mailing_state,mailing_zipcode,establishment_address_1,establishment_city,establishment_state,establishment_zip_code,square_footage_establishment,abutters_count,is_abutters_notified,massachusetts_business,app_create_date,geocoded_column,:@computed_region_4aer_mww6,activity_date,version,Address,lon,lat,town_pop,Distance
MR283742,MRN283742,"Community Care Collective, Inc.",Marijuana Retailer,1500,0,Not a DBE,PROVISIONAL CONSIDERATION,GENERAL APPLICANT,APPROVED,1,531 King Street,Littleton,MA,1460,37 Spartan Arrow Road,Littleton,MA,1460,531 King Street,Littleton,MA,1460,2951,27,Yes,1358223,2020-08-20T00:00:00.000,"{'type': 'Point', 'coordinates': [-71.47012903899997, 42.546397984000066]}",1,2020-11-23T00:00:00.000,CURRENT REPORTING PERIOD,531+King+Street+Littleton+MA,-71.4701247,42.546396,8924,51.1
MR281314,MRN281314,"Northeast Alternatives, Inc.",Marijuana Retailer,300,5000,Not a DBE,FINAL LICENSE,RMD PRIORITY,APPROVED,1,999 William S. Canning Boulevard,Fall River,MA,2721,999 William S. Canning Boulevard,Fall River,MA,2721,999 William S. Canning Boulevard,Fall River,MA,2721,1545,37,Yes,1251472,2018-04-25T00:00:00.000,"{'type': 'Point', 'coordinates': [-71.15697602299997, 41.66548598600008]}",2,2020-11-23T00:00:00.000,CURRENT REPORTING PERIOD,999+William+S.+Canning+Boulevard+Fall+River+MA,-71.1571521,41.6655455,88857,136
MR283029,MRN283029,"The Heirloom Collective, Inc.",Marijuana Retailer,300,10000,Not a DBE,FINAL LICENSE,RMD PRIORITY,APPROVED,1,38 Arbor Way,North Easton,MA,2356,38 Arbor Way,North Easton,MA,2356,457 Russell Street,Hadley,MA,1035,2000,13,Yes,1177989,2019-10-03T00:00:00.000,"{'type': 'Point', 'coordinates': [-72.53711002499995, 42.36417000300003]}",5,2020-11-23T00:00:00.000,CURRENT REPORTING PERIOD,38+Arbor+Way+North+Easton+MA,-71.0827862,42.0790583,0,87.3
MR282801,MRN282801,"Fidelity Wellness Center, Inc.",Marijuana Retailer,300,10000,Not a DBE,FINAL LICENSE,RMD PRIORITY,APPROVED,1,256 Weymouth Street,Rockland,MA,2370,38 Church Street,Winchester,MA,1890,256 Weymouth Street,Rockland,MA,2370,20000,14,Yes,1326201,2019-06-21T00:00:00.000,"{'type': 'Point', 'coordinates': [-70.91066298599998, 42.16087201200003]}",3,2020-11-23T00:00:00.000,CURRENT REPORTING PERIOD,256+Weymouth+Street+Rockland+MA,-70.9106301,42.1609168,17489,80.3
MR281663,MRN281663,Witch City Gardens LLC,Marijuana Retailer,300,10000,Not a DBE,PROVISIONAL LICENSE,GENERAL APPLICANT,APPROVED,1,36-38 Jefferson Ave,Salem,MA,1970,36-38 Jefferson Ave,Salem,MA,1970,36-38 Jefferson Ave,Salem,MA,1970,14000,7,Yes,1319661,2018-06-27T00:00:00.000,"{'type': 'Point', 'coordinates': [-70.90049297099995, 42.514441015000045]}",10,2020-11-23T00:00:00.000,CURRENT REPORTING PERIOD,36-38+Jefferson+Ave+Salem+MA,-70.9005284,42.5144381,41340,29.4
MR283056,MRN283056,Vedi Naturals LLC,Marijuana Retailer,1500,10000,Minority-Owned Business,PROVISIONAL LICENSE,GENERAL APPLICANT,APPROVED,1,505 Boston Post Road West,Marlborough,MA,1752,3 Craig Drive,Clinton,MA,1510,505 Boston Post Road West,Marlborough,MA,1752,2350,100,Yes,1372439,2019-10-16T00:00:00.000,"{'type': 'Point', 'coordinates': [-71.60379600299996, 42.33603099000004]}",1,2020-11-23T00:00:00.000,CURRENT REPORTING PERIOD,505+Boston+Post+Road+West+Marlborough+MA,-71.6036895,42.3361151,38499,81.1
MR282554,MRN282554,"Good Chemistry of Massachusetts, Inc.",Marijuana Retailer,300,5000,Not a DBE,PROVISIONAL LICENSE,RMD PRIORITY,APPROVED,1,696 Western Avenue,Lynn,MA,1905,1550 Larimer Street,Denver,CO,80202,696 Western Avenue,Lynn,MA,1902,3750,8,Yes,1315096,2019-04-01T00:00:00.000,"{'type': 'Point', 'coordinates': [-70.96425402499995, 42.46339899600008]}",10,2020-11-23T00:00:00.000,CURRENT REPORTING PERIOD,696+Western+Avenue+Lynn+MA,-70.9642928,42.4634287,90329,35
MR281356,MRN281356,B Leaf Wellness Centre LLC,Marijuana Retailer,300,10000,Woman-Owned Business,PROVISIONAL LICENSE,GENERAL APPLICANT,APPROVED,1,60 Main Street,Ware,MA,1082,60 Main St.,Ware,MA,1082,60 Main Street,Ware,MA,1082,1000,48,Yes,1339471,2018-05-01T00:00:00.000,"{'type': 'Point', 'coordinates': [-72.24086900799995, 42.25982800700007]}",5,2020-11-23T00:00:00.000,CURRENT REPORTING PERIOD,60+Main+Street+Ware+MA,-72.2407635,42.2599123,9872,178
MR282126,MRN282126,"Turning Leaf Centers Otis, LLC",Marijuana Retailer,300,10000,Not a DBE,PROVISIONAL LICENSE,GENERAL APPLICANT,APPROVED,1,1570 north main road,Otis,MA,2153,PO Box 1328,East Otis,MA,1029,1570 North Main Road,Otis,MA,2153,4000,8,Yes,1373871,2018-12-04T00:00:00.000,"{'type': 'Point', 'coordinates': [-73.10971697499997, 42.23286099400008]}",6,2020-11-23T00:00:00.000,CURRENT REPORTING PERIOD,1570+north+main+road+Otis+MA,-73.1100881,42.2330691,1612,240
MR281346,MRN281346,"Alternative Therapies Group, Inc.",Marijuana Retailer,300,5000,Not a DBE,FINAL LICENSE,RMD PRIORITY,APPROVED,1,"24R Pleasant St, Unit 2",Newburyport,MA,1950,"24R Pleasant St, Unit 2",Newburyport,MA,1950,49 Macy St,Amesbury,MA,1913,4175,97,Yes,462086314,2018-04-27T00:00:00.000,"{'type': 'Point', 'coordinates': [-70.92281599099994, 42.845751998000026]}",10,2020-11-23T00:00:00.000,CURRENT REPORTING PERIOD,"24R+Pleasant+St,+Unit+2+Newburyport+MA",-70.870558,42.8099951,17416,14.7
MR281245,MRN281245,"253 Organic, LLC",Marijuana Retailer,300,5000,Not a DBE,FINAL LICENSE,GENERAL APPLICANT,APPROVED,1,253 Millers Falls Road,Turners Fall,MA,1376,PO Box 253,Turners Falls,MA,1376,253 Millers Falls Road,Montague,MA,1376,3000,16,Yes,1317748,2018-04-17T00:00:00.000,"{'type': 'Point', 'coordinates': [-72.52730403699996, 42.59028101900003]}",7,2020-11-23T00:00:00.000,CURRENT REPORTING PERIOD,253+Millers+Falls+Road+Turners+Fall+MA,-72.5272303,42.5902405,0,149
MR281327,MRN281327,Haverhill Stem LLC,Marijuana Retailer,300,5000,Not a DBE,FINAL LICENSE,ECONOMIC EMPOWERMENT,APPROVED,1,124 Washington St.,Haverhill,MA,1830,25 Bradfields Drive,Haverhill,MA,1830,124 Washington Street,Haverhill,MA,1832,3220,258,Yes,1322411,2018-04-25T00:00:00.000,"{'type': 'Point', 'coordinates': [-71.08569195999996, 42.77253498500005]}",10,2020-11-23T00:00:00.000,CURRENT REPORTING PERIOD,124+Washington+St.+Haverhill+MA,-71.085798,42.772604,60879,13.9
MR281552,MRN281552,"Four Daughters Compassionate Care, Inc.",Marijuana Retailer,300,10000,Not a DBE,FINAL LICENSE,RMD PRIORITY,APPROVED,1,2-4 Merchant Street,Sharon,MA,2067,415 N. Dearborn St.,Chicago,IL,60654,2 Merchant Street Unit 1,Sharon,MA,2067,8000,11,Yes,1342887,2018-06-05T00:00:00.000,"{'type': 'Point', 'coordinates': [-71.23461398799998, 42.11805901100007]}",8,2020-11-23T00:00:00.000,CURRENT REPORTING PERIOD,2-4+Merchant+Street+Sharon+MA,-71.234532,42.118107,17612,99.2
MR281790,MRN281790,"Greener Leaf, Inc.",Marijuana Retailer,300,5000,Not a DBE,PROVISIONAL LICENSE,GENERAL APPLICANT,APPROVED,1,95 Rhode Island Avenue,Fall River,MA,2724,105 Rhode Island Avenue,Fall River,MA,2724,95 Rhode Island Avenue,Fall River,MA,2724,1244,33,Yes,1335564,2018-08-09T00:00:00.000,"{'type': 'Point', 'coordinates': [-71.16385148599994, 41.68236973200004]}",2,2020-11-23T00:00:00.000,CURRENT REPORTING PERIOD,95+Rhode+Island+Avenue+Fall+River+MA,-71.1640913,41.6824203,88857,138
MR281843,MRN281843,Cultivate Holdings LLC,Marijuana Retailer,300,10000,Not a DBE,PROVISIONAL LICENSE,RMD PRIORITY,APPROVED,1,1764 Main Street,Leicester,MA,1524,PO Box 245,Leicester,MA,1524,1023 Southbridge Street,Worcester,MA,1610,4000,36,Yes,1307470,2018-08-27T00:00:00.000,"{'type': 'Point', 'coordinates': [-71.81945398999994, 42.23156699500004]}",14,2020-11-23T00:00:00.000,CURRENT REPORTING PERIOD,1764+Main+Street+Leicester+MA,-71.8636396,42.2407067,10970,108
MR282356,MRN282356,"Northempton Enterprises, Inc.",Marijuana Retailer,300,10000,Not a DBE,PROVISIONAL LICENSE,GENERAL APPLICANT,APPROVED,1,2 Conz Street,Northampton,MA,1060,2 Conz Street,Northampton,MA,1060,2 Conz Street,Northampton,MA,1060,1200,89,Yes,1347389,2019-01-30T00:00:00.000,"{'type': 'Point', 'coordinates': [-72.63072196999997, 42.316073008000046]}",5,2020-11-23T00:00:00.000,CURRENT REPORTING PERIOD,2+Conz+Street+Northampton+MA,-72.6307319,42.3161373,28549,212
MR282062,MRN282062,"Mass Alternative Care, Inc.",Marijuana Retailer,300,10000,Not a DBE,FINAL LICENSE,RMD PRIORITY,APPROVED,1,55 University Drive,Amherst,MA,1002,1247 East Main Street,Chicopee,MA,1020,55 University Drive,Amherst,MA,1002,4400,10,Yes,1302536,2018-11-19T00:00:00.000,"{'type': 'Point', 'coordinates': [-72.53352801899996, 42.37198499600004]}",5,2020-11-23T00:00:00.000,CURRENT REPORTING PERIOD,55+University+Drive+Amherst+MA,-72.5335617,42.3719261,37819,159
MR281271,MRN281271,"Silver Therapeutics, Inc.",Marijuana Retailer,300,5000,Not a DBE,FINAL LICENSE,RMD PRIORITY,APPROVED,1,82 Wendell Ave,Pittsfield,MA,1201,89 Court Street,Saratoga Springs,NY,12866,238 Main Street,Williamstown,MA,1267,708,4,Yes,1258563,2018-04-18T00:00:00.000,"{'type': 'Point', 'coordinates': [-73.18463156299998, 42.702093157000036]}",6,2020-11-23T00:00:00.000,CURRENT REPORTING PERIOD,82+Wendell+Ave+Pittsfield+MA,-73.2530846,42.4453215,44737,266
MR282175,MRN282175,Green River Cannabis Company Inc,Marijuana Retailer,300,10000,Not a DBE,PROVISIONAL LICENSE,GENERAL APPLICANT,APPROVED,1,398 Deerfield Street,Greenfield,MA,1301,30 Washington Street,Attleboro,MA,2703,398 Deerfield Street,Greenfield,MA,1301,2500,56,Yes,1364359,2018-12-13T00:00:00.000,"{'type': 'Point', 'coordinates': [-72.59461700599996, 42.57189900300006]}",7,2020-11-23T00:00:00.000,CURRENT REPORTING PERIOD,398+Deerfield+Street+Greenfield+MA,-72.5946496,42.5719181,17456,156
MR281256,MRN281256,"Mayflower Medicinals, Inc.",Marijuana Retailer,300,5000,Not a DBE,FINAL LICENSE,RMD PRIORITY,APPROVED,1,33 Union Street,Boston,MA,2108,33 Union Street,Boston,MA,2108,645 Park Avenue,Worcester,MA,1603,3000,39,No,1339252,2018-04-17T00:00:00.000,"{'type': 'Point', 'coordinates': [-71.83412299099996, 42.24630799700003]}",14,2020-11-23T00:00:00.000,CURRENT REPORTING PERIOD,33+Union+Street+Boston+MA,-71.0566946,42.3611519,617594,56.4
MR282818,MRN282818,Tigertown LLC,Marijuana Retailer,300,10000,Veteran-Owned Business,PROVISIONAL LICENSE,GENERAL APPLICANT,APPROVED,1,56 Jackson Street,Holyoke,MA,1040,56 Jackson Street,Holyoke,MA,1040,56 Jackson Street,Holyoke,MA,1040,5000,11,Yes,1363642,2019-06-28T00:00:00.000,"{'type': 'Point', 'coordinates': [-72.61223199399996, 42.19569701800003]}",11,2020-11-23T00:00:00.000,CURRENT REPORTING PERIOD,56+Jackson+Street+Holyoke+MA,-72.6126598,42.1955026,39880,191
MR282207,MRN282207,"GreenStar Herbals, Inc.",Marijuana Retailer,300,10000,Not a DBE,PROVISIONAL LICENSE,GENERAL APPLICANT,APPROVED,1,310 Flagg Hill Road,Boxborough,MA,1719,P.O Box 955,Acton,MA,1720,22-24 Main Street,Maynard,MA,1754,3900,20,Yes,1327773,2018-12-19T00:00:00.000,"{'type': 'Point', 'coordinates': [-71.45084596799995, 42.43187700500005]}",1,2020-11-23T00:00:00.000,CURRENT REPORTING PERIOD,310+Flagg+Hill+Road+Boxborough+MA,-71.502927,42.4700526,4996,65.2
MR282588,MRN282588,"Old Planters of Cape Ann, Inc.",Marijuana Retailer,300,10000,Not a DBE,FINAL LICENSE,RMD PRIORITY,APPROVED,1,7 Jewett Hill Road,Ipswich,MA,1938,7 Jewett Hill Road,Ipswich,MA,1938,300 Newburyport Turnpike Unit 1,Rowley,MA,1969,2500,9,Yes,1204113,2019-04-08T00:00:00.000,"{'type': 'Point', 'coordinates': [-70.90772001599998, 42.713067016000025]}",10,2020-11-23T00:00:00.000,CURRENT REPORTING PERIOD,7+Jewett+Hill+Road+Ipswich+MA,-70.8770034,42.705607,13175,10.4
MR283470,MRN283470,"Metro Harvest, Inc.",Marijuana Retailer,1500,0,Not a DBE,PROVISIONAL CONSIDERATION,GENERAL APPLICANT,APPROVED,1,292 Bedford St.,Bridgewater,MA,2324,292 Bedford St.,Bridgewater,MA,2324,240 Bridge Street,Fairhaven,MA,2719,1600,10,Yes,1378461,2020-04-20T00:00:00.000,"{'type': 'Point', 'coordinates': [-70.88668403699995, 41.646805993000044]}",2,2020-11-23T00:00:00.000,CURRENT REPORTING PERIOD,292+Bedford+St.+Bridgewater+MA,-70.9757804,41.9792493,26563,104
MR281892,MRN281892,"Insa, Inc.",Marijuana Retailer,300,5000,Not a DBE,FINAL LICENSE,RMD PRIORITY,APPROVED,1,462 Highland Ave,Salem,MA,1970,122 Pleasant Street,Easthampton,MA,1027,462 Highland Ave,Salem,MA,1970,3000,14,No,1309430,2018-09-17T00:00:00.000,"{'type': 'Point', 'coordinates': [-70.93482901899995, 42.49301100300005]}",10,2020-11-23T00:00:00.000,CURRENT REPORTING PERIOD,462+Highland+Ave+Salem+MA,-70.9348267,42.4929904,41340,34.5
MR282401,MRN282401,1Connection Corp,Marijuana Retailer,1500,0,Not a DBE,PROVISIONAL CONSIDERATION,GENERAL APPLICANT,APPROVED,1,25 Jessicas Way,Attleboro,MA,2703,25 Jessicas Way,Attleboro,MA,2703,200 Williams Street,Dighton,MA,2764,18000,10,Yes,1355946,2019-02-12T00:00:00.000,"{'type': 'Point', 'coordinates': [-71.16497302899995, 41.86904599500008]}",2,2020-11-23T00:00:00.000,CURRENT REPORTING PERIOD,25+Jessicas+Way+Attleboro+MA,-71.3687292,41.9206169,43593,128
MR281495,MRN281495,"Garden Remedies, Inc.",Marijuana Retailer,600,5000,Not a DBE,FINAL LICENSE,RMD PRIORITY,APPROVED,1,697 Washington Street,Newton,MA,2458,697 Washington Street,Newton,MA,2458,697 Washington Street,Newton,MA,2458,1200,55,Yes,1112342,2018-05-29T00:00:00.000,"{'type': 'Point', 'coordinates': [-71.202169988, 42.35294298800005]}",1,2020-11-23T00:00:00.000,CURRENT REPORTING PERIOD,697+Washington+Street+Newton+MA,-71.2021966,42.3529253,85146,62.1
MR283321,MRN283321,Sparkboro Wellness NAMA Corp.,Marijuana Retailer,1500,10000,Minority-Owned Business,PROVISIONAL LICENSE,GENERAL APPLICANT,APPROVED,1,1268 Curran Highway,North Adams,MA,1247,180 Elm Street Suite I#340,Pittsfield,MA,1201,1268 Curran Highway,North Adams,MA,1247,2321,4,Yes,1428476,2020-03-03T00:00:00.000,"{'type': 'Point', 'coordinates': [-73.10717499499998, 42.66750198400007]}",6,2020-11-23T00:00:00.000,CURRENT REPORTING PERIOD,1268+Curran+Highway+North+Adams+MA,-73.1071834,42.6675064,13708,221
MR281989,MRN281989,Green Biz LLC,Marijuana Retailer,300,10000,Minority-Owned Business,PROVISIONAL LICENSE,GENERAL APPLICANT,APPROVED,1,45 Bodwell St,Avon,MA,2322,34 Bridge St,Northampton,MA,1060,177 Main St,Northampton,MA,1060,2000,103,Yes,1319829,2018-10-23T00:00:00.000,"{'type': 'Point', 'coordinates': [-72.63182100499995, 42.318429999000045]}",5,2020-11-23T00:00:00.000,CURRENT REPORTING PERIOD,45+Bodwell+St+Avon+MA,-71.0530732,42.1268728,4356,80.2
MR282319,MRN282319,Trichome Health Corp.,Marijuana Retailer,300,5000,Not a DBE,FINAL LICENSE,RMD PRIORITY,APPROVED,1,54 West Boylston St,Worcester,MA,1606,54 West Boylston St,Worcester,MA,1606,62-68 W. Boylston St.,Worcester,MA,1606,3400,48,Yes,1334529,2019-01-22T00:00:00.000,"{'type': 'Point', 'coordinates': [-71.80573499399998, 42.29082298600008]}",14,2020-11-23T00:00:00.000,CURRENT REPORTING PERIOD,54+West+Boylston+St+Worcester+MA,-71.8061153,42.2902781,181045,96.7
MR283193,MRN283193,The Healing Center LLC,Marijuana Retailer,1500,10000,Not a DBE,PROVISIONAL LICENSE,GENERAL APPLICANT,APPROVED,1,346 River Street,Fitchburg,MA,1450,228 Lewis Wharf,Boston,MA,2110,346 River St,Fitchburg,MA,1420,2800,12,Yes,1336517,2019-12-20T00:00:00.000,"{'type': 'Point', 'coordinates': [-71.81910303999996, 42.58196801500003]}",14,2020-11-23T00:00:00.000,CURRENT REPORTING PERIOD,346+River+Street+Fitchburg+MA,-71.8190174,42.5820385,40318,85.7
MR282225,MRN282225,Buudda Brothers LLC,Marijuana Retailer,300,10000,Minority-Owned Business,PROVISIONAL LICENSE,GENERAL APPLICANT,APPROVED,1,604 Main Street,Holyoke,MA,1040,170 Prospect Street,Chicopee,MA,1013,604 Main Street,Holyoke,MA,1040,1000,32,Yes,1342284,2018-12-26T00:00:00.000,"{'type': 'Point', 'coordinates': [-72.61168096799997, 42.19492500300004]}",11,2020-11-23T00:00:00.000,CURRENT REPORTING PERIOD,604+Main+Street+Holyoke+MA,-72.6116497,42.1950672,39880,191
MR283012,MRN283012,"The Holistic Concepts, Inc",Marijuana Retailer,1500,5000,Not a DBE,PROVISIONAL LICENSE,GENERAL APPLICANT,APPROVED,1,1915 Main St.,Brockton,MA,2301,95 West Elm St.,Brockton,MA,2301,1915 Main St.,Brockton,MA,2301,2400,7,Yes,1345987,2019-09-27T00:00:00.000,"{'type': 'Point', 'coordinates': [-71.01084902499997, 42.04731201800007]}",3,2020-11-23T00:00:00.000,CURRENT REPORTING PERIOD,1915+Main+St.+Brockton+MA,-71.010886,42.0469051,93810,92.1
